code,area,settlement,street,latitude,longitude,start_date_time,end_date_time,car_taxi,goods_vehicle,bus_coach,m_cycle,cyclist,pedestrian,total
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T00:00:00Z,2021-05-19T01:00:00Z,27,2,1,0,3,6,39
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T01:00:00Z,2021-05-19T02:00:00Z,9,0,0,0,0,1,10
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T02:00:00Z,2021-05-19T03:00:00Z,6,2,0,0,0,0,8
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T03:00:00Z,2021-05-19T04:00:00Z,6,3,0,0,0,1,10
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T04:00:00Z,2021-05-19T05:00:00Z,18,6,0,0,0,2,26
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T05:00:00Z,2021-05-19T06:00:00Z,23,5,4,0,10,4,46
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T06:00:00Z,2021-05-19T07:00:00Z,84,32,14,0,8,5,143
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T07:00:00Z,2021-05-19T08:00:00Z,204,81,25,0,20,12,342
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T08:00:00Z,2021-05-19T09:00:00Z,469,91,30,0,31,45,666
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T09:00:00Z,2021-05-19T10:00:00Z,543,73,29,0,7,27,679
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T10:00:00Z,2021-05-19T11:00:00Z,656,100,33,0,7,40,836
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T11:00:00Z,2021-05-19T12:00:00Z,800,93,25,4,11,41,974
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T12:00:00Z,2021-05-19T13:00:00Z,834,90,28,3,25,33,1013
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T13:00:00Z,2021-05-19T14:00:00Z,727,89,28,4,13,253,1114
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T14:00:00Z,2021-05-19T15:00:00Z,780,71,29,12,24,39,955
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T15:00:00Z,2021-05-19T16:00:00Z,744,87,33,5,27,63,959
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T16:00:00Z,2021-05-19T17:00:00Z,642,76,31,14,23,38,824
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T17:00:00Z,2021-05-19T18:00:00Z,657,76,26,1,28,51,839
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T18:00:00Z,2021-05-19T19:00:00Z,456,51,20,2,26,42,597
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T19:00:00Z,2021-05-19T20:00:00Z,421,28,8,1,12,37,507
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T20:00:00Z,2021-05-19T21:00:00Z,348,18,6,2,13,35,422
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T21:00:00Z,2021-05-19T22:00:00Z,245,10,6,4,6,28,299
HC01,Highland,Inverness,Millburn Road,57.4820196,-4.2125589,2021-05-19T22:00:00Z,2021-05-19T23:00:00Z,184,10,3,1,12,26,236
